Family_name;Number_of_sequences
CLU_000022_59_10; 211
CLU_000022_59_9; 47
CLU_000203_6_0; 176
CLU_000203_6_4; 15
CLU_000404_2_3; 107
CLU_000422_3_3; 141
CLU_000445_114_58; 1024
CLU_000445_33_0; 129
CLU_000445_44_4; 190
CLU_000445_52_2; 117
CLU_000445_69_17; 270
CLU_000445_69_1; 24
CLU_000445_69_8; 116
CLU_000487_3_1; 215
CLU_000524_2_2; 131
CLU_000524_5_1; 18
CLU_000524_5_2; 10
CLU_000604_1_1; 756
CLU_000604_1_22; 1650
CLU_000604_1_2; 2297
CLU_000631_7_2; 40
CLU_000688_12_2; 410
CLU_000688_2_0; 147
CLU_000688_21_2; 70
CLU_000688_2_1; 35
CLU_000995_6_0; 160
CLU_000995_7_2; 124
CLU_001042_2_2; 150
CLU_001154_0_0; 166
CLU_001771_0_3; 203
CLU_001771_11_2; 109
CLU_001859_1_3; 65
CLU_001882_1_3; 209
CLU_001882_4_2; 219
CLU_001883_3_1; 7
CLU_002513_3_1; 163
CLU_002656_3_3; 205
CLU_002886_0_0; 121
CLU_003041_1_3; 62
CLU_003291_4_4; 52
CLU_003433_0_0; 134
CLU_003433_2_5; 149
CLU_003705_0_1; 20
CLU_003827_1_0; 91
CLU_004485_4_0; 213
CLU_004553_2_1; 231
CLU_004553_2_2; 44
CLU_004785_0_2; 156
CLU_005138_6_0; 236
CLU_005281_4_1; 226
CLU_005316_7_0; 155
CLU_005379_0_1; 13
CLU_005379_2_2; 359
CLU_005391_1_0; 336
CLU_005503_1_0; 26
CLU_005912_9_3; 41
CLU_006403_0_0; 208
CLU_006462_6_4; 39
CLU_006493_9_3; 109
CLU_006515_9_0; 104
CLU_006553_3_0; 221
CLU_006714_3_4; 297
CLU_006878_0_0; 22
CLU_007127_0_0; 103
CLU_007265_3_5; 211
CLU_007383_1_7; 633
CLU_007383_19_1; 12
CLU_007415_2_3; 180
CLU_007946_15_2; 33
CLU_007948_0_1; 61
CLU_007952_3_0; 201
CLU_008162_3_1; 213
CLU_008192_1_0; 19
CLU_008213_6_0; 163
CLU_008325_5_0; 24
CLU_008325_5_2; 19
CLU_008539_6_2; 32
CLU_008615_2_1; 77
CLU_008727_4_1; 146
CLU_008803_0_0; 165
CLU_008831_0_3; 36
CLU_008891_7_3; 544
CLU_008925_0_0; 12
CLU_009096_0_1; 10
CLU_009116_1_2; 197
CLU_009116_6_0; 98
CLU_009164_0_0; 131
CLU_009281_2_3; 97
CLU_009301_3_1; 173
CLU_009301_3_4; 30
CLU_009301_6_0; 218
CLU_009422_4_4; 126
CLU_009583_2_3; 131
CLU_009673_5_1; 416
CLU_009710_1_2; 176
CLU_009834_2_0; 160
CLU_009834_7_6; 168
CLU_009942_3_1; 46
CLU_010186_7_2; 292
CLU_010194_1_0; 224
CLU_010194_2_10; 129
CLU_010289_0_2; 208
CLU_010448_2_1; 119
CLU_011263_15_0; 52
CLU_011263_15_5; 14
CLU_011675_5_0; 217
CLU_011684_0_0; 3
CLU_012253_0_0; 27
CLU_012348_1_2; 104
CLU_012494_6_4; 78
CLU_012520_2_0; 14
CLU_012640_0_0; 43
CLU_012893_0_1; 131
CLU_012907_1_0; 98
CLU_013049_4_1; 45
CLU_013348_0_0; 63
CLU_013350_3_0; 136
CLU_013458_2_0; 131
CLU_013985_18_3; 103
CLU_013985_23_0; 273
CLU_014015_2_0; 68
CLU_014015_2_1; 230
CLU_014015_5_0; 26
CLU_014051_4_1; 126
CLU_014312_8_3; 17
CLU_014340_1_3; 19
CLU_014340_1_4; 190
CLU_014689_8_1; 35
CLU_014690_0_0; 75
CLU_014813_3_1; 20
CLU_015439_1_1; 32
CLU_015495_1_0; 121
CLU_015495_1_1; 83
CLU_015698_0_0; 8
CLU_015857_7_0; 224
CLU_016047_14_1; 151
CLU_016218_1_2; 162
CLU_016218_2_1; 162
CLU_016733_10_0; 46
CLU_016734_0_2; 68
CLU_016734_3_1; 165
CLU_016755_0_2; 67
CLU_016755_1_1; 39
CLU_017038_0_1; 93
CLU_017038_1_0; 234
CLU_017168_0_0; 10
CLU_017233_1_0; 122
CLU_017266_4_2; 127
CLU_017344_4_1; 218
CLU_017487_1_0; 3
CLU_017490_0_0; 178
CLU_017567_0_0; 14
CLU_017584_4_3; 543
CLU_017814_0_0; 209
CLU_017814_2_1; 37
CLU_018272_3_2; 98
CLU_018398_7_2; 66
CLU_018693_1_0; 180
CLU_018693_3_3; 218
CLU_018957_0_0; 140
CLU_019134_2_1; 219
CLU_019134_2_3; 15
CLU_019375_7_1; 81
CLU_019441_0_0; 13
CLU_019597_2_0; 176
CLU_019796_1_0; 121
CLU_019796_1_2; 35
CLU_020019_3_1; 21
CLU_020019_3_2; 54
CLU_020027_0_4; 16
CLU_020273_3_2; 175
CLU_020336_15_1; 17
CLU_020336_28_1; 45
CLU_020336_50_1; 143
CLU_020364_1_0; 369
CLU_020844_3_0; 109
CLU_020844_3_1; 90
CLU_021095_10_3; 14
CLU_021486_0_0; 11
CLU_022477_2_1; 225
CLU_022508_0_0; 17
CLU_022610_0_1; 196
CLU_022610_0_2; 134
CLU_022916_0_0; 227
CLU_022986_0_0; 27
CLU_023208_2_2; 220
CLU_023334_0_0; 213
CLU_023387_0_0; 209
CLU_023406_0_1; 5
CLU_023643_3_1; 91
CLU_023669_2_0; 283
CLU_023810_1_2; 98
CLU_023810_3_2; 166
CLU_023842_2_0; 172
CLU_024566_7_0; 53
CLU_024648_0_0; 284
CLU_024839_0_2; 57
CLU_024865_0_1; 303
CLU_025040_6_0; 116
CLU_025068_2_1; 159
CLU_025112_3_1; 303
CLU_025112_3_2; 67
CLU_025113_3_1; 166
CLU_025243_0_1; 31
CLU_025402_0_1; 120
CLU_025424_2_0; 61
CLU_025763_1_2; 223
CLU_026126_9_1; 56
CLU_026231_0_1; 237
CLU_026342_2_1; 29
CLU_026444_0_1; 21
CLU_026535_0_0; 219
CLU_026621_5_1; 32
CLU_026621_5_2; 88
CLU_026663_3_1; 147
CLU_026673_1_0; 95
CLU_026673_11_0; 219
CLU_026673_11_2; 181
CLU_026673_3_4; 138
CLU_026700_0_0; 29
CLU_026706_1_0; 25
CLU_027154_0_1; 222
CLU_027255_1_1; 108
CLU_027480_4_3; 6
CLU_027539_0_1; 6
CLU_027539_1_3; 44
CLU_027539_3_1; 41
CLU_027562_9_2; 56
CLU_027562_9_5; 62
