Iteration	Choice	Node	NbSequences	DiffSequences	NbSites	DiffSites	NbChars	DiffChars	MeanEntropy
0	0	3597	1800	0	448	0	801243	0	0.293705
1	1	2164	366	-1434	449	+1	162595	-638648	0.565702
2	1	2160	362	-4	450	+1	160984	-1611	0.569473
3	1	2158	360	-2	451	+1	160268	-716	0.571376
4	1	2112	314	-46	452	+1	139817	-20451	0.618296
5	1	2084	286	-28	453	+1	127416	-12401	0.649553
6	1	2062	264	-22	454	+1	117692	-9724	0.674875
7	1	2038	240	-24	455	+1	107060	-10632	0.700843
8	1	2028	230	-10	456	+1	102695	-4365	0.709892
9	1	2022	224	-6	457	+1	100119	-2576	0.715583
10	1	1992	194	-30	458	+1	86734	-13385	0.712829
