Family_name;Number_of_sequences
CLU_000022_0_3; 382
CLU_000022_2_12; 6886
CLU_000022_2_13; 2104
CLU_000022_23_7; 22664
CLU_000022_26_0; 1594
CLU_000022_3_3; 1129
CLU_000022_35_2; 2109
CLU_000022_35_4; 519
CLU_000022_35_5; 5579
CLU_000022_35_6; 33
CLU_000022_35_8; 1192
CLU_000022_3_6; 6584
CLU_000022_40_0; 700
CLU_000022_44_1; 2049
CLU_000022_53_1; 51
CLU_000022_58_0; 60
CLU_000022_58_6; 170
CLU_000022_59_0; 33460
CLU_000022_59_10; 15800
CLU_000022_59_5; 4621
CLU_000022_59_7; 18006
CLU_000022_69_2; 19962
CLU_000022_7_0; 1579
CLU_000022_77_1; 297
CLU_000032_0_0; 228
CLU_000041_0_0; 221
CLU_000043_2_2; 374
CLU_000084_0_0; 4
CLU_000134_18_13; 2176
CLU_000137_1_0; 99
CLU_000167_16_11; 25482
CLU_000190_0_0; 11
CLU_000210_1_1; 205
CLU_000210_1_2; 946
CLU_000227_1_0; 45
CLU_000243_10_2; 1580
CLU_000288_135_2; 7774
CLU_000288_18_15; 153
CLU_000288_18_23; 71
CLU_000288_36_14; 593
CLU_000288_47_1; 3914
CLU_000288_47_3; 2320
CLU_000288_47_4; 2307
CLU_000288_47_5; 559
CLU_000289_0_0; 23
CLU_000395_0_1; 6144
CLU_000395_3_1; 6067
CLU_000395_3_2; 14408
CLU_000395_3_3; 1987
CLU_000395_4_2; 1813
CLU_000404_3_0; 3970
CLU_000404_4_1; 8693
CLU_000422_1_0; 333
CLU_000422_11_6; 1093
CLU_000422_13_3; 16758
CLU_000422_13_4; 4840
CLU_000422_14_1; 9281
CLU_000422_4_0; 6039
CLU_000445_0_5; 3038
CLU_000445_0_6; 14058
CLU_000445_0_7; 4753
CLU_000445_104_10; 75
CLU_000445_104_15; 2207
CLU_000445_104_1; 1372
CLU_000445_105_0; 490
CLU_000445_107_10; 4
CLU_000445_107_16; 10756
CLU_000445_107_18; 3823
CLU_000445_107_19; 7958
CLU_000445_107_1; 220
CLU_000445_107_21; 1698
CLU_000445_107_27; 13288
CLU_000445_107_30; 714
CLU_000445_107_32; 576
CLU_000445_109_1; 563
CLU_000445_11_11; 53
CLU_000445_11_1; 8756
CLU_000445_11_22; 263
CLU_000445_11_28; 2995
CLU_000445_113_0; 1494
CLU_000445_11_32; 2672
CLU_000445_113_2; 365
CLU_000445_11_33; 4
CLU_000445_114_0; 3774
CLU_000445_114_15; 5341
CLU_000445_114_39; 8805
CLU_000445_114_51; 4118
CLU_000445_114_57; 1301
CLU_000445_114_69; 179
CLU_000445_114_72; 2290
CLU_000445_114_85; 3
CLU_000445_11_4; 4100
CLU_000445_11_5; 2895
CLU_000445_131_0; 953
CLU_000445_134_2; 316
CLU_000445_134_3; 587
CLU_000445_14_6; 5550
CLU_000445_15_6; 1730
CLU_000445_20_10; 3703
CLU_000445_20_12; 8420
CLU_000445_22_2; 50
CLU_000445_27_1; 170
CLU_000445_28_1; 2214
CLU_000445_28_7; 265
CLU_000445_30_1; 40706
CLU_000445_30_3; 19439
CLU_000445_30_4; 65430
CLU_000445_30_8; 11574
CLU_000445_33_0; 9334
CLU_000445_37_3; 1863
CLU_000445_40_1; 1363
CLU_000445_42_0; 1687
CLU_000445_43_7; 1549
CLU_000445_44_1; 3060
CLU_000445_44_2; 3747
CLU_000445_44_4; 8153
CLU_000445_44_5; 1363
