Family_name;Number_of_sequences
CLU_000001_0_2; 13
CLU_000001_1_0; 24
CLU_000002_1_0; 3
CLU_000015_0_1; 98
CLU_000015_1_0; 51
CLU_000015_3_0; 3
CLU_000022_3_0; 30
CLU_000022_31_5; 43
CLU_000022_31_7; 217
CLU_000022_3_6; 841
CLU_000022_59_0; 408
CLU_000022_59_10; 300
CLU_000022_59_2; 3233
CLU_000022_6_3; 132
CLU_000022_69_2; 574
CLU_000024_0_0; 51
CLU_000025_1_0; 59
CLU_000026_0_0; 37
CLU_000030_0_0; 8
CLU_000031_0_0; 32
CLU_000034_0_1; 21
CLU_000034_1_1; 8
CLU_000034_2_0; 38
CLU_000038_7_0; 474
CLU_000038_7_2; 102
CLU_000040_2_0; 215
CLU_000050_0_2; 382
CLU_000058_0_0; 86
CLU_000065_0_0; 38
CLU_000065_3_0; 71
CLU_000076_3_1; 23
CLU_000076_5_0; 56
CLU_000078_1_0; 42
CLU_000085_1_0; 26
CLU_000085_1_1; 84
CLU_000085_4_1; 55
CLU_000091_0_0; 72
CLU_000100_0_0; 85
CLU_000101_0_0; 89
CLU_000104_0_1; 30
CLU_000111_1_0; 85
CLU_000114_0_0; 414
CLU_000114_5_0; 391
CLU_000116_1_0; 75
CLU_000132_0_0; 50
CLU_000134_12_0; 120
CLU_000134_12_1; 21
CLU_000134_18_2; 504
CLU_000134_20_0; 294
CLU_000134_23_0; 49
CLU_000134_29_1; 40
CLU_000134_29_2; 65
CLU_000134_30_0; 22
CLU_000134_37_0; 105
CLU_000134_37_1; 80
CLU_000134_4_0; 62
CLU_000134_4_1; 134
CLU_000134_45_7; 127
CLU_000134_46_1; 61
CLU_000134_46_5; 488
CLU_000134_5_0; 53
CLU_000134_54_0; 190
CLU_000134_6_0; 42
CLU_000134_6_3; 79
CLU_000134_7_1; 122
CLU_000134_7_2; 28
CLU_000134_7_3; 62
CLU_000146_0_0; 46
CLU_000146_1_2; 155
CLU_000162_2_0; 142
CLU_000172_1_0; 91
CLU_000173_0_0; 61
CLU_000175_5_0; 109
CLU_000178_3_1; 70
CLU_000178_4_1; 176
CLU_000178_7_1; 573
CLU_000178_8_1; 68
CLU_000182_1_0; 84
CLU_000192_10_2; 100
CLU_000192_14_1; 196
CLU_000192_15_0; 15
CLU_000192_2_2; 135
CLU_000192_3_1; 541
CLU_000192_4_0; 156
CLU_000192_4_1; 40
CLU_000192_4_4; 46
CLU_000192_5_3; 137
CLU_000192_7_2; 421
CLU_000192_7_5; 331
CLU_000192_7_6; 492
CLU_000192_7_7; 495
CLU_000192_8_0; 292
CLU_000192_8_1; 431
CLU_000192_9_0; 153
CLU_000192_9_1; 100
CLU_000192_9_2; 67
CLU_000192_9_4; 58
CLU_000203_1_0; 60
CLU_000203_2_0; 504
CLU_000206_1_0; 223
CLU_000208_1_0; 41
CLU_000208_2_0; 57
CLU_000218_2_0; 130
CLU_000233_0_0; 176
CLU_000237_0_0; 61
CLU_000245_0_0; 124
CLU_000246_2_0; 57
CLU_000249_0_0; 95
CLU_000257_0_0; 98
CLU_000284_1_0; 64
CLU_000286_3_0; 153
CLU_000286_3_1; 388
CLU_000288_101_1; 155
CLU_000288_101_2; 144
CLU_000288_103_3; 337
CLU_000288_103_6; 323
CLU_000288_103_7; 121
CLU_000288_109_2; 176
CLU_000288_109_4; 45
CLU_000288_109_5; 93
CLU_000288_11_0; 205
CLU_000288_111_1; 164
CLU_000288_114_6; 216
CLU_000288_118_1; 128
CLU_000288_118_2; 336
CLU_000288_123_1; 138
CLU_000288_1_2; 64
CLU_000288_13_1; 180
CLU_000288_132_1; 199
CLU_000288_136_0; 50
CLU_000288_136_1; 48
CLU_000288_140_0; 168
CLU_000288_140_3; 189
CLU_000288_140_4; 70
CLU_000288_141_0; 222
