Iteration	Choice	Node	NbSequences	DiffSequences	NbSites	DiffSites	NbChars	DiffChars	MeanEntropy
0	0	1093	548	0	232	0	125328	0	0.565118
1	1	233	547	-1	237	+5	127632	2304	0.565134
2	1	231	546	-1	238	+1	127963	331	0.565144
3	1	1086	540	-6	239	+1	127383	-580	0.565849
4	1	1084	538	-2	240	+1	127506	123	0.565935
5	1	1080	534	-4	241	+1	127217	-289	0.565824
6	1	322	533	-1	242	+1	127509	292	0.565992
7	1	350	532	-1	243	+1	127796	287	0.56615
8	1	240	531	-1	244	+1	128080	284	0.56623
9	1	285	530	-1	245	+1	128357	277	0.566178
10	1	1074	528	-2	246	+1	128416	59	0.566102
11	1	1072	526	-2	247	+1	128466	50	0.566283
12	1	470	525	-1	248	+1	128725	259	0.566647
